SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18kp,SN 2018btr,2018-05-17.710,'10:02:05.82,'-15:17:54.46,0.031275,17.6,---,16.68,0.41,Ia,11,MCG -02-26-021,,
ASASSN-18kq,SN 2018buh,2018-05-17.22,'14:53:25.44,'+33:16:59.99,0.033313,17.2,---,16.53,0.64,Ia,12,LCSB S2104O,,
ASASSN-18kr,SN 2018bui,2018-05-18.15,'14:20:43.43,'+13:41:42.61,0.020339,17.9,---,16.83,7.24,II,6,KUG 1418+139,,
ASASSN-18ks,SN 2018buz,2018-05-20.28,'20:49:37.71,'-55:06:17.78,0.052,17.5,---,17.14,14.3,Ia,-8,WISEA J204938.32-550605.3,,
ASASSN-18ky,SN 2018bvi,2018-05-20.37,'14:14:18.42,'+10:40:41.56,0.02417,17.6,---,17.37,6.66,Ib,4,SDSS J141418.55+104047.9,,
ASASSN-18kz,SN 2018bwv,2018-05-23.41,'00:57:09.85,'-43:43:38.28,0.02377,16.2,---,15.73,1.84,Ia,10,NGC 0322,,
ASASSN-18ld,AT 2018bxq,2018-05-24.13,'16:36:53.50,'-85:09:00.28,Unk,17.1,---,15.52,20.2,Unk,24,WISEA J163639.27-850851.2,,
ASASSN-18le,SN 2018byw,2018-05-24.27,'21:38:16.82,'-27:33:28.15,0.029991,17,---,17.06,0.56,Ia,2,2MASX J21381685-2733285,,
ASASSN-18lh,SN 2018bzn,2018-05-26.06,'10:37:46.10,'+05:28:01.92,0.028242,16.7,---,15.68,0.23,Ia,12,SDSS J103746.12+052802.0,,
ASASSN-18lk,AT 2017bwx,2018-05-31.98,'09:09:04.71,'+20:05:45.06,0.027616,16.5,---,16.21,5.27,Unk,6,CGCG 091-005,,
ASASSN-18ll,AT 2018cdh,2018-06-02.31,'15:11:42.60,'+06:25:12.00,0.031916,17,---,16.68,0.04,Unk,3,SDSS J151142.60+062511.9,,
ASASSN-18lr,AT 2018cey,2018-06-05.02,'10:46:23.00,'+18:40:25.82,Unk,17.4,---,17.28,1.42,Unk,9,SDSS J104623.08+184026.7,,
ASASSN-18ls,SN 2018cez,2018-06-05.39,'01:24:55.84,'-19:48:10.73,0.027,16.7,---,16.74,3.05,II,13,GALEXASC J012455.64-194808.6,,
ASASSN-18lv,SN 2018cgj,2018-06-04.82,'12:51:06.75,'-47:39:01.87,0.012378,17.4,---,17.23,6.48,II,1,ESO 268-G 047,,
